# Source: data embedded in the native Word charts of Thesis_Final.docx (word/charts/chart*.xml, chartEx*.xml). Values are percent of responses.
question,group,category,percent,source_chart
Familiarity with renewable energy,General public,Very familiar,23.936170212765958,chart1 (Fig 4-3)
Familiarity with renewable energy,General public,Well familiar,31.914893617021278,chart1 (Fig 4-3)
Familiarity with renewable energy,General public,Moderate,19.148936170212767,chart1 (Fig 4-3)
Familiarity with renewable energy,General public,Somewhat familiar,21.276595744680851,chart1 (Fig 4-3)
Familiarity with renewable energy,General public,Not at all,3.7234042553191489,chart1 (Fig 4-3)
Current state of renewable energy,Experts,Developed,4.7619047619047619,chart2 (Fig 4-4)
Current state of renewable energy,Experts,Developing,57.142857142857139,chart2 (Fig 4-4)
Current state of renewable energy,Experts,Limited,38.095238095238095,chart2 (Fig 4-4)
Challenges to household adoption,Experts,Lack of govt incentives,16,chart3 (Fig 4-5)
Challenges to household adoption,Experts,High initial investment costs,26,chart3 (Fig 4-5)
Challenges to household adoption,Experts,Technological limitations,22,chart3 (Fig 4-5)
Challenges to household adoption,Experts,Limited public awareness,17,chart3 (Fig 4-5)
Challenges to household adoption,Experts,Insufficient infrastructure,19.047619047619047,chart3 (Fig 4-5)
Factors influencing decision to use,General public,Cost effectiveness,28.191489361702125,chart4 (Fig 4-6)
Factors influencing decision to use,General public,Environmental sustainability,24.468085106382979,chart4 (Fig 4-6)
Factors influencing decision to use,General public,Reliability,23.936170212765958,chart4 (Fig 4-6)
Factors influencing decision to use,General public,Technological maturity,12.76595744680851,chart4 (Fig 4-6)
Factors influencing decision to use,General public,Government policies,10.638297872340425,chart4 (Fig 4-6)
Most efficient / preferred source,Experts,Solar,30.7,chart5 (Fig 4-7)
Most efficient / preferred source,Experts,Wind,14.285714285714285,chart5 (Fig 4-7)
Most efficient / preferred source,Experts,Hydroelectric,18.6,chart5 (Fig 4-7)
Most efficient / preferred source,Experts,Tidal,14.1,chart5 (Fig 4-7)
Most efficient / preferred source,Experts,Biomass,22.3,chart5 (Fig 4-7)
Most efficient / preferred source,General public,Solar,40.3,chart9 (Fig 16)
Most efficient / preferred source,General public,Wind,16.48936170212766,chart9 (Fig 16)
Most efficient / preferred source,General public,Tidal,5.3191489361702127,chart9 (Fig 16)
Most efficient / preferred source,General public,Hydroelectric,6.9148936170212769,chart9 (Fig 16)
Most efficient / preferred source,General public,Biomass,31,chart9 (Fig 16)
Biggest barrier to adoption,General public,Limited infrastructure,22.872340425531913,chartEx1 (Fig 4-8)
Biggest barrier to adoption,General public,Financial constraints,39.361702127659576,chartEx1 (Fig 4-8)
Biggest barrier to adoption,General public,Lack of awareness,18.085106382978726,chartEx1 (Fig 4-8)
Biggest barrier to adoption,General public,Regulatory / policy change,19.680851063829788,chartEx1 (Fig 4-8)
Biggest barrier to adoption,Experts,Limited infrastructure,23.809523809523807,chartEx2 (Fig 4-9)
Biggest barrier to adoption,Experts,Financial constraints,33.8,chartEx2 (Fig 4-9)
Biggest barrier to adoption,Experts,Lack of awareness,23.3,chartEx2 (Fig 4-9)
Biggest barrier to adoption,Experts,Regulatory / policy change,19.047619047619047,chartEx2 (Fig 4-9)
Ways to encourage use,Experts,Financial incentives,28.571428571428569,chart6 (Fig 4-10)
Ways to encourage use,Experts,Renewable quotas for tax reduction,14.285714285714285,chart6 (Fig 4-10)
Ways to encourage use,Experts,Invest in R&D,42.857142857142854,chart6 (Fig 4-10)
Ways to encourage use,Experts,Supportive regulatory frameworks,14.285714285714285,chart6 (Fig 4-10)
Ways to encourage use,General public,Financial incentives,43.61702127659575,chart7 (Fig 4-11)
Ways to encourage use,General public,Renewable quotas for tax reduction,27.8,chart7 (Fig 4-11)
Ways to encourage use,General public,Invest in R&D,19.5,chart7 (Fig 4-11)
Ways to encourage use,General public,Supportive regulatory frameworks,9.0425531914893629,chart7 (Fig 4-11)
